0,23,1	chr8	100.000	18	0	0	3	20	5939353	5939336	0.25	36.2
0,23,1	chrX	100.000	17	0	0	5	21	73176177	73176161	0.98	34.2
0,23,1	chr15_KI270905v1_alt	95.238	21	1	0	3	23	3937309	3937289	0.98	34.2
0,23,1	chr15_KI270905v1_alt	95.238	21	1	0	3	23	3039338	3039358	0.98	34.2
0,23,1	chr4	100.000	17	0	0	6	22	47027888	47027872	0.98	34.2
0,23,1	chr15	95.238	21	1	0	3	23	31652161	31652141	0.98	34.2
0,23,1	chr15	95.238	21	1	0	3	23	30753612	30753632	0.98	34.2
0,23,1	chr1	100.000	17	0	0	5	21	219868252	219868236	0.98	34.2
0,23,1	chr5	100.000	17	0	0	5	21	121646013	121646029	0.98	34.2
0,23,1	chr3	100.000	17	0	0	5	21	88721828	88721844	0.98	34.2
0,23,1	chr2	100.000	17	0	0	5	21	64388433	64388449	0.98	34.2
0,23,1	chr10	100.000	17	0	0	3	19	1658966	1658982	0.98	34.2
0,23,2	chr14	100.000	18	0	0	6	23	67677193	67677176	0.25	36.2
0,23,2	chr13	100.000	18	0	0	4	21	54036535	54036518	0.25	36.2
0,23,2	chr1	100.000	18	0	0	5	22	229042890	229042873	0.25	36.2
0,23,2	chr9	100.000	17	0	0	6	22	31721027	31721011	0.98	34.2
0,23,2	chr6	100.000	17	0	0	2	18	46903758	46903774	0.98	34.2
0,23,2	chr6	100.000	17	0	0	5	21	160958306	160958322	0.98	34.2
0,23,2	chr5	100.000	17	0	0	4	20	15045983	15045967	0.98	34.2
0,23,2	chr3	100.000	17	0	0	2	18	54934098	54934082	0.98	34.2
0,23,2	chr3	100.000	17	0	0	6	22	110660188	110660172	0.98	34.2
0,20,4	chr9	100.000	17	0	0	3	19	13605257	13605241	0.49	34.2
0,20,4	chr1	100.000	17	0	0	3	19	153009370	153009354	0.49	34.2
0,20,5	chr16	100.000	17	0	0	1	17	65643128	65643112	0.49	34.2
1,23,2	chr18	100.000	18	0	0	5	22	33220791	33220774	0.25	36.2
1,23,2	chr9	100.000	17	0	0	3	19	18162140	18162124	0.98	34.2
1,23,2	chr9	100.000	17	0	0	2	18	111765277	111765261	0.98	34.2
1,23,2	chr5	100.000	17	0	0	5	21	90691950	90691934	0.98	34.2
1,23,2	chr1	100.000	17	0	0	1	17	204522829	204522845	0.98	34.2
1,20,3	chr8	100.000	18	0	0	1	18	5939353	5939336	0.12	36.2
1,20,3	chrX	100.000	17	0	0	3	19	73176177	73176161	0.49	34.2
1,20,3	chr5	100.000	17	0	0	3	19	121646013	121646029	0.49	34.2
1,20,3	chr4	100.000	17	0	0	4	20	47027888	47027872	0.49	34.2
1,20,3	chr3	100.000	17	0	0	3	19	88721828	88721844	0.49	34.2
1,20,3	chr2	100.000	17	0	0	3	19	64388433	64388449	0.49	34.2
1,20,3	chr10	100.000	17	0	0	1	17	1658966	1658982	0.49	34.2
1,20,3	chr1	100.000	17	0	0	3	19	219868252	219868236	0.49	34.2
1,20,4	chr7	100.000	17	0	0	4	20	47143600	47143616	0.49	34.2
1,20,7	chr14	100.000	20	0	0	1	20	67677193	67677174	0.008	40.1
1,20,7	chr5	100.000	17	0	0	3	19	73416280	73416296	0.49	34.2
1,20,7	chr9	100.000	17	0	0	1	17	31721027	31721011	0.49	34.2
1,20,7	chr3	100.000	17	0	0	1	17	110660188	110660172	0.49	34.2
1,20,7	chr1	100.000	17	0	0	1	17	229042889	229042873	0.49	34.2
1,20,8	chr1	100.000	19	0	0	2	20	239520728	239520710	0.031	38.2
1,20,8	chr11	100.000	17	0	0	2	18	46160637	46160653	0.49	34.2
